Country,population,lon,lat
Mexico,"11182111",-99.133209,19.432608
China ,"2861725",116.383331,39.916668
India,"2634871",78.9629,20.5937
Philippines,"2008074", 120.984222, 14.599512
El Salvador,"1420399",-88.89653,13.7942
Cuba,"1340670",-82.366592,23.113592
Vietnam,"1322684",105.804817,21.028511
Dominican Republic,"1174729", -69.929611,18.483402
Korea,"1057487",127.024612,37.5326
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
