mode,USA
A01a_bin,No
A01b_bin,Yes
A02a_bin,Yes
A02b_bin,No
A03a_bin,Yes
A03b_bin,No
A04_bin,Yes
A05_bin,No
A06_bin,Yes
A06a_bin,Yes
A06b_bin,Yes
A06c_bin,Yes
A06d_bin,Yes
A06e_bin,Yes
A06f_bin,Yes
A07_bin,No
A08_bin,Yes
A09_bin,No
A10_bin,Yes
A11_bin,No
A12a_bin,No
A12b_bin,No
A13_bin,No
A14_bin,No
A16_bin,No
A18_bin,No
A19_bin,No
A20_bin,No
A21_bin,Yes
A22_bin,No
A23_bin,No
A24_bin,No
A25_bin,Yes
A26_bin,No
