mode,type,order,title,description
A01B,born,3,Descent (Born Abroad),Parents with United States citizenship can confer their citizenship on their child born abroad conditional on the continuous residency status of the parents. 
A02A,born,4,Birth in Country,Children can acquire United States citizenship based on birth within the U.S. or outlying territories regardless of the citizenship and birthplace of their parents. 
A04,born,2,Establishment of Parentage,A person born to a United States citizen who establishes such parentage after birth can acquire U.S. citizenship. 
A06,resident,2,Residence Based Acquisition,A person with established legal permanent residency in the United States may acquire U.S. citizenship under certain conditions. 
A21,resident,1,Very Long Residence,A person over the age of 50 or 55 living in the United States for a total period of at least 20 or 15 years may be granted U.S. citizenship. 
A08,family,2,Marriage,A person who has been the spouse of a United States citizen and a U.S. resident for 3 years and shares a common household with such spouse may be granted U.S. citizenship. 
A10,family,1,Adoption,Minors (under the age of 18) adopted by United States citizens are granted U.S. citizenship. 
A25,special,1,Public Service,"A legal permanent resident who has served in the armed forces for a total period of at least 1 year, served in the armed forces during military hostilities, or made an extraordinary contribution to the national security of the United States may be granted U.S. citizenship."
A03a,born,1,Foundlings,Children of unknown parentage under the age of 5 found within the United States or outlying territories are granted U.S. citizenship. 
